"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","Url"
"1","Matt Dinniman","Fantasy","4.5","Dominion of Blades (Dominion of Blades, #1)","Dominion of Blades,","1","2017","430",,"4.17","3317","https://www.goodreads.com/book/show/34521681-dominion-of-blades"
"1","Matt Dinniman","Fantasy","4.5","The Hobgoblin Riot (Dominion of Blades, #2)","Dominion of Blades,","2","2018","589",,"4.3","2093","https://www.goodreads.com/book/show/39294737-the-hobgoblin-riot"
"1","Matt Dinniman","Fantasy","4.5","Dungeon Crawler Carl (Dungeon Crawler Carl, #1)","Dungeon Crawler Carl,","1","2020","446",,"4.49","156260","https://www.goodreads.com/book/show/56791389-dungeon-crawler-carl"
"1","Matt Dinniman","Fantasy","4.5","Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)","Dungeon Crawler Carl,","2","2021","364",,"4.52","105426","https://www.goodreads.com/book/show/56377548-carl-s-doomsday-scenario"
"1","Matt Dinniman","Fantasy","4.5","The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)","Dungeon Crawler Carl,","3","2021","534",,"4.45","87971","https://www.goodreads.com/book/show/57001971-the-dungeon-anarchist-s-cookbook"
"1","Matt Dinniman","Fantasy","4.5","The Gate of the Feral Gods (Dungeon Crawler Carl, #4)","Dungeon Crawler Carl,","4","2021","586",,"4.56","73961","https://www.goodreads.com/book/show/57905101-the-gate-of-the-feral-gods"
"1","Matt Dinniman","Fantasy","4.5","The Butcher's Masquerade (Dungeon Crawler Carl, #5)","Dungeon Crawler Carl,","5","2022","732",,"4.69","64338","https://www.goodreads.com/book/show/60233239-the-butcher-s-masquerade"
"1","Matt Dinniman","Fantasy","4.5","The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)","Dungeon Crawler Carl,","6","2023","694",,"4.66","54378","https://www.goodreads.com/book/show/125887685-the-eye-of-the-bedlam-bride"
"1","Matt Dinniman","Fantasy","4.5","This Inevitable Ruin (Dungeon Crawler Carl, #7)","Dungeon Crawler Carl,","7","2024","724",,"4.68","41543","https://www.goodreads.com/book/show/216017751-this-inevitable-ruin"
"2","Christopher Ruocchio","Science-Fiction","4.39","Howling Dark (The Sun Eater, #2)","The Sun Eater,","2","2019","688",,"4.36","21684","https://www.goodreads.com/book/show/41564599-howling-dark"
