"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","SeriesAvg","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","EstimatedStartDate","EstimatedCompletionDate","Url"
"1","Travis Baldree","Fantasy","4.453","House of Blades (The Traveler's Gate Trilogy, 1)",,,,"2013",,"Young Adult","4.07","18128",,,"https://www.goodreads.com/book/show/61237606-house-of-blades"
"1","Travis Baldree","Fantasy","4.453","The Crimson Vault (The Traveler's Gate Trilogy, 2)",,,,"2013",,"Young Adult","4.18","13680",,,"https://www.goodreads.com/book/show/61237607-the-crimson-vault"
"1","Travis Baldree","Fantasy","4.453","City of Light (The Traveler's Gate Trilogy, 3)",,,,"2014",,"Young Adult","4.16","12131",,,"https://www.goodreads.com/book/show/61237608-city-of-light"
"1","Travis Baldree","Fantasy","4.453","Unsouled (Cradle, #1)","Cradle,","1","4.47","2016","9","Young Adult","4.15","54889","2026-01-01","2026-01-01","https://www.goodreads.com/book/show/41576813-unsouled"
"1","Travis Baldree","Fantasy","4.453","Soulsmith (Cradle, #2)","Cradle,","2","4.47","2016","8","Young Adult","4.33","39836","2026-01-11","2026-01-11","https://www.goodreads.com/book/show/43303167-soulsmith"
"1","Travis Baldree","Fantasy","4.453","Skysworn (Cradle, #4)","Cradle,","4","4.47","2017","300",,"4.38","34563","2026-01-25","2026-02-12","https://www.goodreads.com/book/show/49719105-skysworn"
"1","Travis Baldree","Fantasy","4.453","Ghostwater (Cradle, #5)","Cradle,","5","4.47","2018",,,"4.56","33675",,,"https://www.goodreads.com/book/show/44325067-ghostwater"
"1","Travis Baldree","Fantasy","4.453","Underlord (Cradle, #6)","Cradle,","6","4.47","2019",,,"4.61","32949",,,"https://www.goodreads.com/book/show/44453473-underlord"
"1","Travis Baldree","Fantasy","4.453","Uncrowned  (Cradle, #7)","Cradle,","7","4.47","2019","10","Young Adult","4.57","31792","2026-02-22","2026-02-22","https://www.goodreads.com/book/show/49901228-uncrowned"
"1","Travis Baldree","Fantasy","4.453","Bloodline (Cradle, #9)","Cradle,","9","4.47","2021",,"Young Adult","4.5","28790",,,"https://www.goodreads.com/book/show/59079715-bloodline"
