"Author","Title","SeriesName","SeriesNum","PubYear","Pages","AvgRating","ReviewCount","Url"
"Brandon Sanderson","Elantris (1 of 3) [Dramatized Adaptation]",,,"2005",,"4.34","1823","https://www.goodreads.com/book/show/6646849-elantris-1-of-3-dramatized-adaptation"
"Brandon Sanderson","Elantris (2 of 3) [Dramatized Adaptation]",,,"2005",,"4.39","1488","https://www.goodreads.com/book/show/6646851-elantris-2-of-3-dramatized-adaptation"
"Brandon Sanderson","Elantris (3 of 3) [Dramatized Adaptation]",,,"2005",,"4.42","1486","https://www.goodreads.com/book/show/6646852-elantris-3-of-3-dramatized-adaptation"
"Brandon Sanderson","Elantris (Elantris, #1)","Elantris,","1","2005",,"4.17","336877","https://www.goodreads.com/book/show/68427.Elantris"
"Brandon Sanderson","The Gathering Storm (The Wheel of Time, #12)","The Wheel of Time,","12","2009",,"4.44","174720","https://www.goodreads.com/book/show/1166599.The_Gathering_Storm"
"Brandon Sanderson","Towers of Midnight (The Wheel of Time, #13)","The Wheel of Time,","13","2010",,"4.48","172028","https://www.goodreads.com/book/show/8253920-towers-of-midnight"
"Brandon Sanderson","A Memory of Light (The Wheel of Time, #14)","The Wheel of Time,","14","2013",,"4.58","158891","https://www.goodreads.com/book/show/7743175-a-memory-of-light"
"Brandon Sanderson","Warbreaker",,,"2009",,"4.3","267937","https://www.goodreads.com/book/show/1268479.Warbreaker"
"Brandon Sanderson","Warbreaker (1 of 3) [Dramatized Adaptation]",,,"2009",,"4.33","1267","https://www.goodreads.com/book/show/6761519-warbreaker-1-of-3-dramatized-adaptation"
"Brandon Sanderson","Warbreaker (2 of 3) [Dramatized Adaptation]",,,"2009",,"4.44","1030","https://www.goodreads.com/book/show/6761518-warbreaker-2-of-3-dramatized-adaptation"
"Brandon Sanderson","Warbreaker (3 of 3) [Dramatized Adaptation]",,,"2009",,"4.48","1092","https://www.goodreads.com/book/show/6761520-warbreaker-3-of-3-dramatized-adaptation"
"Brandon Sanderson","What the Storm Means: Prologue to The Gathering Storm",,,"2009",,"4.33","1012","https://www.goodreads.com/book/show/6980873-what-the-storm-means"
"Brandon Sanderson","Distinctions: Prologue to Towers of Midnight",,,"2010",,"4.41","1637","https://www.goodreads.com/book/show/9105238-distinctions"
"Brandon Sanderson","The Way of Kings, Part 2 (The Stormlight Archive #1, Part 2 of 2)","The Stormlight Archive","1","2010",,"4.78","24952","https://www.goodreads.com/book/show/11221285-the-way-of-kings-part-2"
"Brandon Sanderson","Words of Radiance, Part 1 (The Stormlight Archive #2, Part 1 of 2)","The Stormlight Archive","2","2014",,"4.7","14877","https://www.goodreads.com/book/show/21098320-words-of-radiance-part-1"
"Brandon Sanderson","The Way of Kings (The Stormlight Archive, #1)","The Stormlight Archive,","1","2010",,"4.66","642559","https://www.goodreads.com/book/show/7235533-the-way-of-kings"
"Brandon Sanderson","The Way of Kings, Part 1 (The Stormlight Archive, #1, Part 1 of 2)","The Stormlight Archive,","1","2010",,"4.61","30425","https://www.goodreads.com/book/show/9329354-the-way-of-kings-part-1"
"Brandon Sanderson","Words of Radiance (The Stormlight Archive, #2)","The Stormlight Archive,","2","2014",,"4.76","466581","https://www.goodreads.com/book/show/17332218-words-of-radiance"
"Brandon Sanderson","Words of Radiance, Part 2 (The Stormlight Archive, #2, Part 2 of 2)","The Stormlight Archive,","2","2014",,"4.81","13935","https://www.goodreads.com/book/show/21100112-words-of-radiance-part-2"
"Brandon Sanderson","Edgedancer (The Stormlight Archive, #2.5)","The Stormlight Archive,","2.5","2016",,"4.14","156101","https://www.goodreads.com/book/show/34703445-edgedancer"
"Brandon Sanderson","Oathbringer (The Stormlight Archive, #3)","The Stormlight Archive,","3","2017",,"4.61","338701","https://www.goodreads.com/book/show/34002132-oathbringer"
"Brandon Sanderson","Oathbringer Part One (The Stormlight Archive, #3.1)","The Stormlight Archive,","3.1","2017",,"4.47","10351","https://www.goodreads.com/book/show/39861971-oathbringer-part-one"
"Brandon Sanderson","Dawnshard (The Stormlight Archive, #3.5)","The Stormlight Archive,","3.5","2020",,"4.35","123908","https://www.goodreads.com/book/show/54511226-dawnshard"
"Brandon Sanderson","Rhythm of War (The Stormlight Archive, #4)","The Stormlight Archive,","4","2020",,"4.59","224505","https://www.goodreads.com/book/show/49021976-rhythm-of-war"
"Brandon Sanderson","Rhythm of War, Part One (The Stormlight Archive, #4, Part 1)","The Stormlight Archive,","4","2020",,"4.51","4793","https://www.goodreads.com/book/show/58610759-rhythm-of-war-part-one"
"Brandon Sanderson","Rhythm of War, Part Two (The Stormlight Archive, #4, Part 2)","The Stormlight Archive,","4","2021",,"4.65","4447","https://www.goodreads.com/book/show/58610770-rhythm-of-war-part-two"
"Brandon Sanderson","Wind and Truth (The Stormlight Archive, #5)","The Stormlight Archive,","5","2024",,"4.38","114038","https://www.goodreads.com/book/show/203578847-wind-and-truth"
"Brandon Sanderson","Secret History (Mistborn, #3.5)","Mistborn,","3.5","2016",,"4.32","92332","https://www.goodreads.com/book/show/28698036-secret-history"
"Brandon Sanderson","The Alloy of Law (Mistborn, #4)","Mistborn,","4","2011",,"4.2","276901","https://www.goodreads.com/book/show/10803121-the-alloy-of-law"
"Brandon Sanderson","Shadows of Self (Mistborn, #5)","Mistborn,","5","2015",,"4.26","197465","https://www.goodreads.com/book/show/16065004-shadows-of-self"
"Brandon Sanderson","The Bands of Mourning (Mistborn, #6)","Mistborn,","6","2016",,"4.41","179933","https://www.goodreads.com/book/show/18739426-the-bands-of-mourning"
"Brandon Sanderson","The Lost Metal (Mistborn, #7)","Mistborn,","7","2022",,"4.48","109515","https://www.goodreads.com/book/show/23947089-the-lost-metal"
"Brandon Sanderson","The Alloy of Law Excerpt: Prologue - Chapter 6",,,"2011",,"4.49","2428","https://www.goodreads.com/book/show/12348752-the-alloy-of-law-excerpt"
"Brandon Sanderson","By Grace and Banners Fallen: Prologue to A Memory of Light",,,"2012",,"4.55","4434","https://www.goodreads.com/book/show/16006282-by-grace-and-banners-fallen"
"Brandon Sanderson","Legion (Legion, #1)","Legion,","1","2012",,"4.13","43775","https://www.goodreads.com/book/show/13452375-legion"
"Brandon Sanderson","Legion: The Many Lives of Stephen Leeds (Legion, #1-3)","Legion,","1","2018",,"4.17","16030","https://www.goodreads.com/book/show/39332065-legion"
"Brandon Sanderson","Skin Deep (Legion, #2)","Legion,","2","2014",,"4.12","21794","https://www.goodreads.com/book/show/20886354-skin-deep"
"Brandon Sanderson","Lies of the Beholder (Legion, #3)","Legion,","3","2018",,"4.12","8024","https://www.goodreads.com/book/show/37640636-lies-of-the-beholder"
"Brandon Sanderson","The Emperor's Soul",,,"2012",,"4.38","125427","https://www.goodreads.com/book/show/13578175-the-emperor-s-soul"
