URL,Genre,Author,Exclude,Include
https://www.goodreads.com/author/list/6474348.Pierce_Brown,Science Fiction,Pierce Brown,Y,
https://www.goodreads.com/author/list/15735471.M_L_Wang,Fantasy,M L Wang,,
https://www.goodreads.com/author/list/5117.Art_Spiegelman,Graphic Novel,Art Spiegelman,,
https://www.goodreads.com/author/list/4459639.J_Zachary_Pike,Fantasy,J Zachary Pike,,
https://www.goodreads.com/author/list/3389.Stephen_King,Thriller,Stephen King,,
https://www.goodreads.com/author/list/54493.Kristin_Hannah,Historical Fiction,Kristin Hannah,,
https://www.goodreads.com/author/list/5898355.John_Gwynne,Fantasy,John Gwynne,,
https://www.goodreads.com/author/list/16917839.Christopher_Ruocchio,Science Fiction,Christopher Ruocchio,,
https://www.goodreads.com/author/list/7125278.Will_Wight,Fantasy,Will Wight,,
https://www.goodreads.com/author/list/3961.Alan_Moore,Graphic Novel,Alan Moore,,
https://www.goodreads.com/author/list/8427407.James_Islington,Fantasy,James Islington,,
https://www.goodreads.com/author/list/87305.Martha_Wells,Science Fiction,Martha Wells,,
https://www.goodreads.com/author/list/7705004.Fonda_Lee,Fantasy,Fonda Lee,,
https://www.goodreads.com/author/list/11231718.Simon_St_lenhag,Science Fiction,Simon St lenhag,,
https://www.goodreads.com/author/list/6540057.Andy_Weir,Science Fiction,Andy Weird,,
https://www.goodreads.com/author/list/1020792.Antoine_de_Saint_Exup_ry,Children,Antoine de Saint Exup ry,,
https://www.goodreads.com/author/list/16820001.R_F_Kuang,Fantasy,R F Kuang,,
https://www.goodreads.com/author/list/1445909.Adrian_Tchaikovsky,Science Fiction,Adrian Tchaikovsky,,
https://www.goodreads.com/author/list/6876324.Tamsyn_Muir,Fantasy,Tamsyn Muir,,
https://www.goodreads.com/author/list/176372.Madeline_Miller,Historical Fiction,Madeline Miller,,
https://www.goodreads.com/author/list/17087338.Evan_Winter,Fantasy,Evan Witner,,
https://www.goodreads.com/author/list/12130438.Dennis_E_Taylor,Science Fiction,Dennis E Taylor,,
https://www.goodreads.com/author/list/1370283.Brent_Weeks,Fantasy,Brent Weeks,,
https://www.goodreads.com/author/list/4339.David_Foster_Wallace,Humor,David Foster Wallace,,
https://www.goodreads.com/author/list/108424.Patrick_Rothfuss,Fantasy,Patrick Rothfuss,,
https://www.goodreads.com/author/list/38550.Brandon_Sanderson,Fantasy,Brandon Sanderson,,
https://www.goodreads.com/author/list/656983.J_R_R_Tolkien,Fantasy,J R R Tolkien,,
https://www.goodreads.com/author/list/999015.Matt_Dinniman,Fantasy,Matt Dinniman,Y,
https://www.goodreads.com/author/list/6252.Robert_Jordan,Fantasy,Robert Jordan,,
https://www.goodreads.com/author/list/4192148.James_S_A_Corey,Science Fiction,James S A Corey,,
https://www.goodreads.com/author/list/276660.Joe_Abercrombie,Fantasy,Joe Abercrombie,,
https://www.goodreads.com/author/list/3137322.Fyodor_Dostoevsky,Classic Fiction,Fyodor Dostoevsky,,
https://www.goodreads.com/author/list/2917917.N_K_Jemisin,Fantasy,N K Jemisin,,
https://www.goodreads.com/author/list/1630.Ray_Bradbury,Science Fiction,Ray Bradbury,,
https://www.goodreads.com/author/list/346732.George_R_R_Martin,Fantasy,George R R Martin,,
https://www.goodreads.com/author/list/15388346.Nicholas_Eames,Fantasy,Nicholas Eames,,
https://www.goodreads.com/author/list/706255.Stieg_Larsson,Thriller,Stieg Larsson,,
https://www.goodreads.com/author/list/1221698.Neil_Gaiman,Fantasy,Neil Gaiman,,
https://www.goodreads.com/author/list/545.Neal_Stephenson,Science Fiction,Neal Stephenson,,
https://www.goodreads.com/author/list/73149.Scott_Lynch,Fantasy,Scott Lynch,,
https://www.goodreads.com/author/list/3447.Ken_Follett,Historical Fiction,Ken Follett,,
https://www.goodreads.com/author/list/29535.Octavia_E_Butler,Science Fiction,Octavia E Butler,,
https://www.goodreads.com/author/list/25307.Robin_Hobb,Fantasy,Robin Hobb,,
https://www.goodreads.com/author/list/4785.Alexandre_Dumas,Classic Fiction,Alexandre Dumas,,
https://www.goodreads.com/author/list/22182916.Travis_Baldree,Fantasy,Travis Baldree,Y,
https://www.goodreads.com/author/list/4764.Philip_K_Dick,Science Fiction,Philip K Dick,,
https://www.goodreads.com/author/list/2917920.Ken_Liu,Fantasy,Ken Liu,,
https://www.goodreads.com/author/list/6417.James_Clavell,Historical Fiction,James Clavell,,
https://www.goodreads.com/author/list/10746.Jim_Butcher,Fantasy,Jim Butcher,,
https://www.goodreads.com/author/list/16667.Isaac_Asimov,Science Fiction,Isaac Asimov,,
https://www.goodreads.com/author/list/5830526.Samantha_Shannon,Fantasy,Samantha Shannon,,
https://www.goodreads.com/author/list/2448.Arthur_Conan_Doyle,Mystery,Arthur Conan Doyle,,
https://www.goodreads.com/author/list/8842.Susanna_Clarke,Fantasy,Susanna Clarke,,
https://www.goodreads.com/author/list/442240.Blake_Crouch,Science Fiction,Blake Crouch,,
https://www.goodreads.com/author/list/60177.Guy_Gavriel_Kay,Fantasy,Guy Gavriel Kay,,
https://www.goodreads.com/author/list/123715.Agatha_Christie,Mystery,Agatha Christie,,
https://www.goodreads.com/author/list/38569.Andrzej_Sapkowski,Fantasy,Andrzej Sapkowski,,
https://www.goodreads.com/author/list/7779.Arthur_C_Clarke,Science Fiction,Arthur C Clarke,,
https://www.goodreads.com/author/list/4721536.Mark_Lawrence,Fantasy,Mark Lawrence,,
https://www.goodreads.com/author/list/3565.Oscar_Wilde,Classic Fiction,Oscar Wilde,,
https://www.goodreads.com/author/list/31232.Steven_Erikson,Fantasy,Steven Erikson,,
https://www.goodreads.com/author/list/3472.Margaret_Atwood,Science Fiction,Margaret Atwood,,
https://www.goodreads.com/author/list/128382.Leo_Tolstoy,Classic Fiction,Leo Tolstoy,,
https://www.goodreads.com/author/list/7168230.V_E_Schwab,Fantasy,V E Schwab,,
https://www.goodreads.com/author/list/205.Robert_A_Heinlein,Science Fiction,Robert A Heinlein,,
https://www.goodreads.com/author/list/13833684.Zamil_Akhtar,Fantasy,Zamil Akhtar,,
https://www.goodreads.com/author/list/3706.George_Orwell,Classic Fiction,George Orwell,,
https://www.goodreads.com/author/list/1654.Terry_Pratchett,Fantasy,Terry Pratchett,,
https://www.goodreads.com/author/list/2687.Dan_Simmons,Science Fiction,Dan Simmons,,
https://www.goodreads.com/author/list/15862877.Rebecca_Roanhorse,Fantasy,Rebecca Roanhorse,,
