"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","SeriesAvg","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","EstimatedStartDate","EstimatedCompletionDate","Url"
"1","Adam Higginbotham","Other","4.44","Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster",,,,"2019","538",,"4.37","65589",,,"https://www.goodreads.com/book/show/40538681-midnight-in-chernobyl"
"1","Adam Higginbotham","Other","4.44","Challenger: A True Story of Heroism and Disaster on the Edge of Space",,,,"2024","563",,"4.51","19111",,,"https://www.goodreads.com/book/show/199798785-challenger"
"2","Bessel van der Kolk","Other","4.35","The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",,,,"2014","464",,"4.35","284541",,,"https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score"
"3","David Foster Wallace","Other","4.22","A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments",,,,"1923","353",,"4.13","54696",,,"https://www.goodreads.com/book/show/6748.A_Supposedly_Fun_Thing_I_ll_Never_Do_Again"
"3","David Foster Wallace","Other","4.22","Consider the Lobster and Other Essays",,,,"1923","343",,"4.18","54364",,,"https://www.goodreads.com/book/show/6751.Consider_the_Lobster_and_Other_Essays"
"3","David Foster Wallace","Other","4.22","Infinite Jest",,,,"1923","1088",,"4.25","101977",,,"https://www.goodreads.com/book/show/6759.Infinite_Jest"
"3","David Foster Wallace","Other","4.22","Oblivion",,,,"1923","329",,"4.07","15934",,,"https://www.goodreads.com/book/show/6749.Oblivion"
"3","David Foster Wallace","Other","4.22","This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",,,,"1923","138",,"4.47","38798",,,"https://www.goodreads.com/book/show/5986375-this-is-water"
"4","Yuval Noah Harari","Other","4.205","Sapiens: A Brief History of Humankind",,,,"2011","512",,"4.33","1270902",,,"https://www.goodreads.com/book/show/23692271-sapiens"
"4","Yuval Noah Harari","Other","4.205","Homo Deus: A History of Tomorrow",,,,"2015","450",,"4.18","288725",,,"https://www.goodreads.com/book/show/31138556-homo-deus"
"4","Yuval Noah Harari","Other","4.205","21 Lessons for the 21st Century",,,,"2018","372",,"4.15","178323",,,"https://www.goodreads.com/book/show/38820046-21-lessons-for-the-21st-century"
"4","Yuval Noah Harari","Other","4.205","Nexus: A Brief History of Information Networks from the Stone Age to AI",,,,"2024","528",,"4.16","46901",,,"https://www.goodreads.com/book/show/204927599-nexus"
"5","Michael   Lewis","Other","4.203","Liar's Poker",,,,"1980","310",,"4.15","112441",,,"https://www.goodreads.com/book/show/7865083-liar-s-poker"
"5","Michael   Lewis","Other","4.203","Moneyball",,,,"2003","317",,"4.27","145247",,,"https://www.goodreads.com/book/show/1301.Moneyball"
"5","Michael   Lewis","Other","4.203","The Blind Side",,,,"2006","339",,"4.17","101083",,,"https://www.goodreads.com/book/show/817791.The_Blind_Side"
"5","Michael   Lewis","Other","4.203","The Big Short: Inside the Doomsday Machine",,,,"2010","291",,"4.3","171621",,,"https://www.goodreads.com/book/show/26889576-the-big-short"
"5","Michael   Lewis","Other","4.203","Flash Boys: A Wall Street Revolt",,,,"2014","304",,"4.14","90961",,,"https://www.goodreads.com/book/show/24724602-flash-boys"
"5","Michael   Lewis","Other","4.203","The Fifth Risk: Undoing Democracy",,,,"2018","255",,"4.09","48186",,,"https://www.goodreads.com/book/show/46266188-the-fifth-risk"
"5","Michael   Lewis","Other","4.203","The Premonition: A Pandemic Story",,,,"2018","304",,"4.32","43040",,,"https://www.goodreads.com/book/show/56790170-the-premonition"
"5","Michael   Lewis","Other","4.203","Who Is Government? The Untold Story of Public Service",,,,"2025","272",,"4.18","13698",,,"https://www.goodreads.com/book/show/219551344-who-is-government-the-untold-story-of-public-service"
"6","Stephen E. Ambrose","Other","4.201","Pegasus Bridge",,,,"1984","199",,"4.15","11258",,,"https://www.goodreads.com/book/show/49254.Pegasus_Bridge"
"6","Stephen E. Ambrose","Other","4.201","Eisenhower: Soldier and President",,,,"1990","635",,"4.03","12683",,,"https://www.goodreads.com/book/show/42519.Eisenhower"
"6","Stephen E. Ambrose","Other","4.201","Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",,,,"1992","432",,"4.44","139528",,,"https://www.goodreads.com/book/show/42389.Band_of_Brothers"
"6","Stephen E. Ambrose","Other","4.201","D-Day, June 6, 1944: The Battle for the Normandy Beaches",,,,"1994","656",,"4.31","31556",,,"https://www.goodreads.com/book/show/49250.D_Day_June_6_1944"
"6","Stephen E. Ambrose","Other","4.201","Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier",,,,"1996","592",,"4.23","68067",,,"https://www.goodreads.com/book/show/45546.Undaunted_Courage"
"6","Stephen E. Ambrose","Other","4.201","Citizen Soldiers: The US Army from the Normandy Beaches to the Bulge to the Surrender of Germany",,,,"1997","528",,"4.25","24808",,,"https://www.goodreads.com/book/show/49251.Citizen_Soldiers"
"6","Stephen E. Ambrose","Other","4.201","The Wild Blue: The Men and Boys Who Flew the B-24s Over Germany 1944-45",,,,"2001","299",,"4","10915",,,"https://www.goodreads.com/book/show/487638.The_Wild_Blue"
"7","Walter Isaacson","Other","4.184","Einstein: His Life and Universe",,,,"1955","675",,"4.17","203186",,,"https://www.goodreads.com/book/show/10884.Einstein"
"7","Walter Isaacson","Other","4.184","Benjamin Franklin: An American Life",,,,"2003","586",,"4.05","150818",,,"https://www.goodreads.com/book/show/10883.Benjamin_Franklin"
"7","Walter Isaacson","Other","4.184","Steve Jobs",,,,"2011","630",,"4.16","1363903",,,"https://www.goodreads.com/book/show/11084145-steve-jobs"
"7","Walter Isaacson","Other","4.184","The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",,,,"2011","542",,"4.12","39912",,,"https://www.goodreads.com/book/show/21856367-the-innovators"
"7","Walter Isaacson","Other","4.184","Elon Musk",,,,"2015","688",,"4.33","76545",,,"https://www.goodreads.com/book/show/122765395-elon-musk"
