"Overall Rank","Author","Genre","Author Average","Title","Series Name","Series Number","Series Average","Publication Year","Pages","Average book rating","Review count","Estimated Reading Start Date","Estimated Reading End Date"
"1","Ryan Cahill","Fantasy","4.417","The Fall","The Bound and the Broken","0.5","4.417","2020","","4.13","10277","",""
"1","Ryan Cahill","Fantasy","4.417","Of Blood and Fire","The Bound and the Broken","1","4.417","2021","","4.05","26609","",""
"1","Ryan Cahill","Fantasy","4.417","Of Darkness and Light","The Bound and the Broken","2","4.417","2021","","4.42","15137","",""
"1","Ryan Cahill","Fantasy","4.417","The Exile","The Bound and the Broken","2.5","4.417","2022","","4.52","7668","",""
"1","Ryan Cahill","Fantasy","4.417","Of War and Ruin","The Bound and the Broken","3","4.417","2023","","4.63","11783","",""
"1","Ryan Cahill","Fantasy","4.417","The Ice","The Bound and the Broken","3.5","4.417","2023","","4.44","5411","",""
"1","Ryan Cahill","Fantasy","4.417","Of Empires and Dust","The Bound and the Broken","4","4.417","2025","","4.73","6978","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 1","Berserk","1","4.58","1990","","4.49","73057","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 2","Berserk","2","4.58","1991","","4.42","25930","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 3","Berserk","3","4.58","1991","","4.55","23290","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 4","Berserk","4","4.58","1992","","4.58","20360","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 5","Berserk","5","4.58","1993","","4.61","18730","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 6","Berserk","6","4.58","1993","","4.62","17074","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 7","Berserk","7","4.58","1994","","4.61","16148","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 8","Berserk","8","4.58","1994","","4.69","15315","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 38","Berserk","38","4.58","2016","","4.65","5872","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 10","","","","1995","","4.68","14140","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 9","","","","1995","","4.68","14398","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 11","","","","1996","","4.59","13094","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 12","","","","1996","","4.76","13272","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 13","","","","1997","","4.7","13230","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 14","","","","1997","","4.54","12512","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 15","","","","1998","","4.5","11571","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 16","","","","1998","","4.54","10975","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 17","","","","1999","","4.57","10559","",""
"2","Kentaro Miura","Manga","4.65","Berserk, Vol. 18","","","","1999","","4.56","10140","",""
