"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","Url"
"1","M.L. Wang","Fantasy","4.4","The Sword of Kaigen",,,"2019","651",,"4.45","81192","https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen"
"1","M.L. Wang","Fantasy","4.4","Blood Over Bright Haven",,,"2023","430",,"4.36","96450","https://www.goodreads.com/book/show/208430658-blood-over-bright-haven"
"2","Christopher Ruocchio","Science-Fiction","4.39","Howling Dark (The Sun Eater, #2)","The Sun Eater,","2","2019","688",,"4.36","21673","https://www.goodreads.com/book/show/41564599-howling-dark"
"2","Christopher Ruocchio","Science-Fiction","4.39","Queen Amid Ashes (The Sun Eater, #2.5)","The Sun Eater,","2.5",,"173",,"4","4206","https://www.goodreads.com/book/show/61294903-queen-amid-ashes"
"2","Christopher Ruocchio","Science-Fiction","4.39","Demon in White (The Sun Eater, #3)","The Sun Eater,","3","2020","784",,"4.63","16278","https://www.goodreads.com/book/show/50156751-demon-in-white"
"2","Christopher Ruocchio","Science-Fiction","4.39","Kingdoms of Death (The Sun Eater, #4)","The Sun Eater,","4","2022","544",,"4.47","12734","https://www.goodreads.com/book/show/57443696-kingdoms-of-death"
"2","Christopher Ruocchio","Science-Fiction","4.39","Ashes of Man (The Sun Eater, #5)","The Sun Eater,","5","2022","544",,"4.5","10970","https://www.goodreads.com/book/show/60427253-ashes-of-man"
"2","Christopher Ruocchio","Science-Fiction","4.39","The Dregs of Empire  (The Sun Eater, #5.5)","The Sun Eater,","5.5",,"332",,"4.19","2286","https://www.goodreads.com/book/show/199239732-the-dregs-of-empire"
"2","Christopher Ruocchio","Science-Fiction","4.39","Disquiet Gods (The Sun Eater, #6)","The Sun Eater,","6","2024","704",,"4.59","8657","https://www.goodreads.com/book/show/176443792-disquiet-gods"
"3","John Gwynne","Fantasy","4.39","A Time of Dread (Of Blood and Bone, #1)","Of Blood and Bone,","1","2012","463",,"4.29","14308","https://www.goodreads.com/book/show/34392663-a-time-of-dread"
"3","John Gwynne","Fantasy","4.39","A Time of Blood (Of Blood and Bone, #2)","Of Blood and Bone,","2","2012","496",,"4.35","10849","https://www.goodreads.com/book/show/37917915-a-time-of-blood"
"3","John Gwynne","Fantasy","4.39","A Time of Courage (Of Blood and Bone, #3)","Of Blood and Bone,","3","2012","648",,"4.46","9894","https://www.goodreads.com/book/show/52549368-a-time-of-courage"
"3","John Gwynne","Fantasy","4.39","The Shadow of the Gods (The Bloodsworn Saga, #1)","The Bloodsworn Saga,","1","2012","480",,"4.19","82309","https://www.goodreads.com/book/show/52694527-the-shadow-of-the-gods"
"3","John Gwynne","Fantasy","4.39","The Hunger of the Gods (The Bloodsworn Saga, #2)","The Bloodsworn Saga,","2","2012","633",,"4.5","45001","https://www.goodreads.com/book/show/57341045-the-hunger-of-the-gods"
"3","John Gwynne","Fantasy","4.39","The Fury of the Gods (The Bloodsworn Saga, #3)","The Bloodsworn Saga,","3","2012","528",,"4.46","26413","https://www.goodreads.com/book/show/61755703-the-fury-of-the-gods"
"3","John Gwynne","Fantasy","4.39","Malice (The Faithful and the Fallen, #1)","The Faithful and the Fallen,","1","2012","672",,"4.17","55230","https://www.goodreads.com/book/show/15750692-malice"
"3","John Gwynne","Fantasy","4.39","Valor (The Faithful and the Fallen, #2)","The Faithful and the Fallen,","2","2012","640",,"4.43","38586","https://www.goodreads.com/book/show/40651803-valor"
"3","John Gwynne","Fantasy","4.39","Ruin (The Faithful and the Fallen, #3)","The Faithful and the Fallen,","3","2012","768",,"4.49","32417","https://www.goodreads.com/book/show/23524878-ruin"
"3","John Gwynne","Fantasy","4.39","Wrath (The Faithful and the Fallen, #4)","The Faithful and the Fallen,","4","2012","720",,"4.52","30054","https://www.goodreads.com/book/show/27411345-wrath"
