"Title","Genre","Premiere","Network","ImdbRating","ImdbVotes","ImdbId","WikidataQid","ChangeType","SeenThisRun","FirstSeen","LastSeen","PrevImdbRating","PrevImdbVotes","DeltaRating","DeltaVotes"
"A Knight of the Seven Kingdoms","Fantasy","January 18, 2026","HBO","8.8","192087","tt27497448","Q120277524","Stale","No","2026-03-05T15:07:21.2015906Z","2026-03-05T15:07:21.2015906Z","","","",""
"TNA Thursday Night Impact!","Professional wrestling","January 15, 2026","Unknown","IMDb not found","","","Q64160","Stale","No","2026-03-05T15:07:21.2015906Z","2026-03-05T15:07:21.2015906Z","","","",""
"Judy Justice (season 4)","Arbitration-based reality court show","January 19, 2026","Amazon Prime Video","IMDb not found","","","Q97704102","Stale","No","2026-03-05T15:07:21.2015906Z","2026-03-05T15:07:21.2015906Z","","","",""
"Star Search (season 15)","Talent show","January 20, 2026","Netflix","IMDb not found","","","Q687284","Stale","No","2026-03-05T15:07:21.2015906Z","2026-03-05T15:07:21.2015906Z","","","",""
"Madam Beja","Historical telenovela","February 2, 2026","HBO Max","IMDb not found","","","","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
"Cash Queens","Crime thriller","February 5, 2026","Netflix","IMDb not found","","","","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
"Unfamiliar","Crime drama","February 5, 2026","Netflix","IMDb not found","","","","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
"Salvador","Action drama","February 6, 2026","Netflix","IMDb not found","","","Q137697729","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
"The 'Burbs","Black comedy","February 8, 2026","Peacock","IMDb not found","","","Q136504901","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
"Motorvalley","Sports drama","February 10, 2026","Netflix","IMDb not found","","","","Stale","No","2026-04-05T12:18:04.8942132Z","2026-04-05T12:18:04.8942132Z","","","",""
